,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
1437,PN K  4-29,M,19 30 38.8271,+23 03 34.477,--,--,--,--,--,13.202099,7.578,6.523,5.978
1438,BD+54  2931,B,23 12 26.7922,+55 11 54.143,9.74,10.16,9.85,--,--,9.797777,8.97,8.744,8.652
1439,IRAS 17198-3643,O,17 23 15.6284,-36 45 50.325,--,--,--,--,--,20.718317,11.199,7.98,6.185
1440,HD 355353,M,20 18 26.0852,+16 30 14.463,--,11.66,10.47,--,--,10.358279,8.699,8.181,8.025
1441,HD    552,A,00 10 10.7970,+67 17 29.966,--,9.49,9.21,--,--,9.186,8.383,8.248,8.304
1442,IRAS 17488-3541,O,17 52 10.0120,-35 42 10.136,--,--,--,--,--,12.458704,6.154,5.137,4.496
1443,BD+01  3453,M,17 32 02.1323,+01 10 24.798,--,11.96,10.16,--,--,9.247353,6.478,5.571,5.326
1444,HD  17834,F,02 52 19.6395,+18 43 17.843,--,9.6,9.2,--,--,9.147362,8.461,8.341,8.279
1445,HD 276106,F,04 08 49.3308,+38 40 47.010,13.27,11.35,10.66,--,--,10.491108,9.364,9.052,8.981
1446,CHSS  688,F,09 43 25.8447,+29 34 01.923,--,--,13.45,--,--,13.353976,12.612,12.388,12.333
1447,HD  48297,G,06 45 01.7981,+45 47 17.597,--,10.79,10.23,--,--,10.13079,9.282,9.099,9.034
1448,HD  61521,K,07 44 05.6749,+65 26 17.230,--,9.57,8.18,--,--,7.685369,5.641,4.924,4.743
1449,LS   I +60   83,B,00 05 33.5611,+60 49 51.766,12.17,12.61,12.2,12.21,--,12.116582,11.321,11.22,11.195
1450,BPS CS 22186-0043,A,04 34 18.5367,-33 53 20.395,14.54,14.51,14.21,14.39,--,14.153641,13.615,13.487,13.529
1451,IRAS 17053-3658,O,17 08 44.1599,-37 01 52.052,--,--,--,--,--,19.081331,13.841,10.688,8.453
1452,OH 000.5-00.2,O,17 47 25.0658,-28 36 33.825,--,--,--,--,--,--,--,--,--
1453,TYC 4631-2855-1,G,08 24 33.4727,+82 36 46.974,--,11.84,11.24,--,--,11.283449,10.42,10.192,10.155
1454,HD 150888,K,16 40 54.8695,+55 39 21.949,--,10.06,9.01,--,--,8.729251,7.126,6.59,6.482
1455,BD+40  1197,K,05 10 50.5475,+41 04 17.260,--,10.81,9.21,--,--,8.664077,6.498,5.804,5.601
1456,HD  25485,G,04 05 05.6165,+48 52 20.048,--,9.68,9.12,--,--,9.024849,8.207,7.93,7.85
1457,HD 292038,K,06 37 49.3240,-02 07 43.416,--,12.09,10.89,--,--,10.382728,8.537,7.945,7.803
1458,EM* GGA  164,B,02 23 25.5321,+58 30 02.908,--,13.25,12.63,12.49,--,12.396958,11.167,10.94,10.592
1459,HD   3755,F,00 40 42.8593,+44 51 43.252,--,9.23,8.79,--,--,8.69406,7.865,7.649,7.608
1460,TYC  604-864-1,F,00 47 11.1025,+08 37 23.715,--,11.19,10.81,--,--,10.794295,9.928,9.764,9.678
1461,HD 235382,M,20 51 09.4264,+55 00 41.318,--,11.5,9.85,--,--,8.955121,6.304,5.482,5.26
1462,BD+04  1142,K,06 09 39.4273,+04 47 18.174,--,10.87,9.81,--,--,9.519471,7.744,7.224,7.08
1463,HD 181067,K,19 16 53.5059,+44 46 33.229,--,9.88,8.52,--,--,8.126882,6.202,5.6,5.46
1464,RX J1732.2+4847,K,17 32 16.0436,+48 47 49.930,--,13.89,12.77,12.35,--,12.469561,10.532,9.983,9.857
1465,Cl Trumpler   37   947,G,21 23 09.0509,+58 35 12.280,--,12.57,11.67,--,--,11.693897,10.366,9.966,9.84
1466,BD+36  1892,G,08 59 44.4259,+36 06 50.939,--,12.3,11.4,--,--,11.248038,10.004,9.622,9.542
1467,IRAS 17079-3500,O,17 11 16.2288,-35 03 57.855,--,--,--,--,--,--,--,--,8.032
1468,HD 104202,A,12 00 08.3675,+70 39 05.221,--,8.71,8.47,--,--,8.427736,7.989,7.995,7.913
1469,RL  78,B,03 57 40.9461,+56 56 12.882,--,14.76,14.44,--,--,14.434106,13.705,13.642,13.567
1470,IRAS 17043-3504,O,17 07 37.4366,-35 08 02.651,--,--,--,--,--,17.488907,9.581,7.892,6.727
1471,OH 349.52+00.25,O,17 17 07.9428,-37 33 20.116,--,--,--,--,--,--,--,--,--
1472,TYC 4227-728-1,K,18 36 54.4222,+66 07 42.664,--,11.97,10.56,--,--,10.185693,8.489,7.911,7.718
1473,TYC 4543-717-1,F,08 37 01.2643,+78 56 29.820,--,10.71,10.19,--,--,10.12047,9.315,9.081,9.042
1474,HD  11612,M,01 55 01.1750,+42 06 42.505,--,11.2,9.66,9.26,--,8.482799,5.591,4.82,4.464
1475,HD  93609,A,10 49 39.2303,+60 32 45.021,--,9.87,9.62,--,--,9.607575,9.132,8.993,8.916
1476,LS III +58   32,B,22 28 38.5763,+58 23 30.188,--,11.38,10.86,--,--,10.536853,9.333,9.204,9.071
1477,BD+44  1366,K,06 07 00.9594,+44 09 02.390,--,10.5,9.21,--,--,8.837484,7.024,6.422,6.237
1478,HD   8790,A,01 27 30.4052,+45 11 03.611,--,10.64,10.2,--,--,10.284358,9.624,9.461,9.437
1479,HD  24312,A,03 52 40.3017,+15 58 29.021,9.684,9.52,9.17,--,--,9.079573,8.284,8.241,8.156
1480,HD 213944,A,22 34 08.0931,+47 04 16.279,--,10.9,10.65,--,--,10.475729,9.818,9.687,9.614
1481,BD-14  2320,M,08 00 41.6034,-14 39 52.959,--,10.82,9.18,--,--,8.343565,5.832,5.028,4.715
1482,IRAS 17168-3841,O,17 20 13.5594,-38 44 34.095,--,--,--,--,--,17.385756,8.801,6.682,5.581
1483,HD  22762,F,03 46 35.4088,+75 02 59.199,--,10.11,9.75,--,--,9.660145,8.971,8.836,8.802
1484,IRAS 17484-3622,O,17 51 51.5467,-36 23 03.346,--,--,--,--,--,12.117645,6.172,5.067,4.231
1485,HD 275876,G,03 49 05.4681,+39 00 31.576,--,11.64,11.11,--,--,11.079242,9.943,9.664,9.577
1486,IRAS 17189-3711,O,17 22 20.8142,-37 14 29.882,--,--,--,--,--,--,16.131,13.299,11.648
1487,HD  10704,A,01 45 34.0727,+43 43 20.736,--,9.72,9.55,--,--,9.556942,9.237,9.231,9.17
1488,HD  37535,G,05 42 19.3540,+53 30 55.781,--,9.46,9.01,--,--,8.902813,8.145,7.956,7.884
1489,BD+40  4270,M,20 40 03.8078,+40 34 54.574,--,11.34,9.76,--,--,9.020531,6.504,5.754,5.526
1490,HD 150842,G,16 39 36.6309,+62 19 19.478,--,9.43,8.6,--,--,8.354374,7.08,6.723,6.628
1491,HD 187942,F,19 50 23.1997,+48 43 54.629,--,9.35,9.03,--,--,8.976312,8.386,8.309,8.245
1492,HD   5956,F,01 01 23.4172,+30 38 17.767,--,9.42,9.06,8.9,--,9.006072,8.346,8.22,8.147
1493,HD 279667,K,04 18 41.5233,+36 33 39.770,--,12.43,10.91,--,--,10.225101,7.862,7.149,6.975
1494,LS   I +56   69,B,02 48 45.8508,+56 27 57.354,12.81,13.05,12.43,--,--,12.270165,11.168,11.032,10.935
1495,LS III +47    8,B,20 36 40.3369,+47 27 52.725,--,11.42,11.0,--,--,10.75072,9.742,9.633,9.579
1496,Weis 62766,M,13 05 13.9,+28 06 29,--,15.81,14.47,--,--,--,--,--,--
1497,2MASS J18564244-2945239,M,18 56 42.44,-29 45 24.0,--,16.56,--,14.41,--,--,12.232,11.336,11.116
1498,V* V1335 Cyg,M,21 21 18.7340,+45 51 24.431,--,11.85,9.62,--,--,8.685637,5.8,4.905,4.66
1499,IRAS 16556-3956,O,16 59 00.3955,-40 00 27.605,--,--,--,--,--,15.07955,7.658,5.847,4.944
1500,HD 286685,A,04 20 24.5512,+13 12 35.359,--,12.25,12.5,12.09,--,11.994464,10.937,10.754,10.656
1501,HD 277185,A,04 53 59.8001,+39 10 52.885,--,11.23,11.1,--,--,11.067482,10.387,10.353,10.279
1502,HD 284371,G,04 22 07.1668,+23 07 04.804,--,12.11,11.46,--,--,11.378995,10.111,9.827,9.71
1503,HD 113593,K,13 03 25.8356,+67 21 24.092,--,10.46,8.98,--,--,8.474791,6.424,5.732,5.546
1504,HD 281986,M,04 21 52.7345,+32 30 00.693,--,13.2,10.86,--,--,10.05873,7.601,6.771,6.549
1505,LS   I +63  128,B,01 02 08.5532,+63 23 43.819,--,11.81,11.11,--,--,11.204799,10.058,9.928,9.876
1506,IRAS 17108-3714,O,17 14 12.6591,-37 17 57.208,--,--,--,--,--,19.070696,9.593,7.692,6.461
1507,EM* GGR  168,B,00 05 57.6050,+63 37 01.344,--,11.64,11.24,--,--,11.278452,10.619,10.447,10.318
1508,V* NY Sct,M,18 54 21.5009,-09 13 40.227,--,--,--,--,--,12.356192,8.667,7.784,7.309
1509,IRAS 17258-4318,O,17 29 25.4022,-43 20 34.446,--,--,--,--,--,9.903381,5.181,4.087,3.676
1510,HBHA 6212-13,B,02 52 31,+63 48.2,--,--,15.1,--,--,--,--,--,--
1511,HD 278922,A,03 42 13.8818,+34 17 24.393,--,12.37,11.72,--,--,11.773959,11.042,10.966,10.856
1512,HD  59449,F,07 31 54.0290,+42 21 07.697,--,10.05,9.69,--,--,9.524364,8.846,8.715,8.641
1513,LS III +40   23,B,20 45 41.0211,+40 31 34.876,--,12.66,12.44,--,--,12.462824,11.711,11.573,11.538
1514,TYC 2858-792-1,G,02 50 15.7039,+44 41 14.442,--,11.72,11.15,--,--,11.163706,10.216,9.955,9.885
1515,HD 319426,M,17 09 40.3939,-33 10 10.722,--,11.41,10.14,--,--,9.733099,7.908,7.346,7.173
1516,TYC 1980-743-1,F,11 02 10.0816,+27 54 58.946,--,11.51,10.98,--,--,11.000855,10.32,10.18,10.134
1517,HD 324888,M,18 05 49.1784,-40 24 49.288,--,11.58,10.08,--,--,8.644418,5.525,4.662,4.344
1518,V* V1728 Oph,M,17 16 16.2997,-19 32 38.258,--,--,--,--,--,13.255271,9.408,8.315,7.887
1519,CHSS  749,F,10 15 58.4697,+28 54 03.657,--,--,13.37,--,--,13.21911,12.322,12.079,11.997
1520,BD+75   827,K,22 24 58.4294,+76 40 31.878,--,10.45,9.35,--,--,9.017718,7.311,6.772,6.66
1521,TYC 3906-1102-1,K,17 58 26.4047,+54 49 24.692,--,11.86,10.97,--,--,10.615723,--,--,--
1522,IRAS 17583-3346,O,18 01 39.2743,-33 46 00.508,--,--,--,--,--,--,--,13.549,10.267
1523,HS 1501+4302,F,15 03 10.0,+42 50 35,--,--,--,--,--,--,--,--,--
1524,OH 359.768-00.207,O,17 45 52.6204,-29 14 30.418,--,--,--,--,--,--,--,12.91,9.84
1525,IRAS 17360-3605,O,17 39 25.0751,-36 06 37.816,--,--,--,--,--,13.140649,7.094,5.735,4.922
1526,BD+04   754,K,04 49 07.7960,+05 12 30.701,--,9.15,8.1,--,--,7.816826,6.29,5.788,5.632
1527,IRAS 17005-4327,O,17 04 09.2894,-43 31 41.383,--,--,--,--,--,20.481949,12.654,9.915,7.891
1528,HD 145083,G,16 07 08.7547,+45 01 28.659,--,9.84,9.11,--,--,8.986359,7.918,7.637,7.572
1529,BD+69   993,G,18 33 49.0317,+70 02 40.130,--,10.91,10.54,--,--,10.225203,9.246,8.955,8.902
1530,HD 280240,A,04 57 53.2141,+37 53 13.156,--,11.74,11.1,--,--,11.251839,10.116,9.966,9.822
1531,HD  59829,F,07 32 20.6107,+15 16 57.492,--,9.69,9.32,--,--,9.274371,8.665,8.538,8.513
1532,[MK97] 89,M,23 27 58.9324,+63 55 50.136,--,16.77,14.19,13.43,--,12.082843,8.2,7.0,6.519
1533,LP  411-16,M,02 53 03.1113,+19 29 07.451,--,17.8,--,15.4,--,14.851063,11.564,10.994,10.665
1534,BD+54   446,K,02 03 17.0878,+54 54 26.879,--,11.64,9.95,--,--,9.155891,6.548,5.662,5.4
1535,EM* LkHA  374,B,20 54 58.7158,+44 54 55.359,--,12.9,11.4,--,--,11.25308,9.981,9.798,9.652
1536,HD 218110,A,23 04 38.5529,+53 02 17.127,--,9.1,8.85,--,--,8.812221,8.337,8.275,8.279
1537,HD 191490,A,20 07 31.3574,+55 19 34.755,--,8.93,8.83,--,--,8.84112,8.635,8.628,8.623
1538,2MASS J16230923-2417047,M,16 23 09.2283,-24 17 05.013,--,14.3,12.75,--,--,14.246979,10.32,8.997,8.07
1539,LS   V +56   47,B,02 27 53.6957,+57 06 31.453,--,12.38,11.97,11.89,--,11.82257,10.986,10.88,10.861
1540,[IG95] 135-10,M,18 56 54.1924,-29 45 42.532,--,16.96,--,14.58,--,14.869663,12.146,11.249,10.988
1541,HD  30037,K,04 44 07.3429,+02 01 30.153,--,10.04,8.62,--,--,8.078691,6.007,5.287,5.009
1542,BD+68  1167,G,20 54 58.0084,+68 51 10.151,--,11.24,10.78,--,--,10.51494,9.597,9.264,9.267
1543,HD 194091,A,20 21 55.2014,+44 57 15.367,--,9.06,8.91,--,--,8.872034,8.553,8.505,8.506
1544,HD 295935,F,06 59 34.5269,-03 15 22.498,--,11.55,11.01,--,--,10.901698,9.737,9.393,9.285
1545,IRAS 17257-3504,O,17 29 05.8256,-35 07 05.686,--,--,--,--,--,16.908129,8.038,5.473,4.018
1546,HD 282079,G,04 29 11.8771,+33 18 03.449,--,12.0,11.34,--,--,11.082083,9.78,9.446,9.372
1547,BD+50  2045,K,14 07 02.6980,+49 57 03.996,--,12.34,11.6,--,--,11.449406,10.206,9.77,9.698
1548,BPS CS 22173-0036,A,04 13 56.9153,-17 58 38.665,--,13.81,13.59,--,--,13.535664,13.129,13.03,12.996
1549,HD 105318,G,12 07 28.2014,+59 43 40.456,--,10.08,9.69,--,--,9.575765,8.843,8.664,8.617
1550,IRAS 17437-3510,O,17 47 04.6647,-35 11 28.776,--,--,20.851,--,14.19,15.899758,10.202,8.349,7.202
1551,HD 277407,F,05 02 35.4568,+40 03 49.944,--,11.77,11.16,--,--,11.204407,10.334,10.168,10.102
1552,Cl Trumpler   37   522,G,21 45 40.1101,+57 27 39.601,--,12.76,11.52,--,--,10.769558,8.752,8.102,7.924
1553,HD 276774,A,04 45 57.3155,+41 28 24.917,--,11.81,11.28,--,--,11.35098,10.526,10.399,10.341
1554,LBQS 2239-0042,F,22 42 19.4199,-00 26 52.842,--,19.0,--,17.9,--,18.080614,--,--,--
1555,HD 228255,B,20 11 55.1160,+40 14 05.430,--,11.21,10.66,--,--,10.433926,9.293,9.163,9.1
1556,BD-17   930,M,04 41 17.8804,-17 37 10.113,--,11.76,10.11,--,--,9.495887,7.349,6.658,6.412
1557,IRAS 17504-3312,O,17 53 47.0,-33 13 24,--,--,--,--,--,--,--,--,--
1558,HD 279879,G,04 26 38.3758,+36 36 55.742,--,13.03,12.04,--,--,11.256728,9.775,9.398,9.314
1559,HD  60577,G,07 44 40.8512,+77 46 41.516,--,9.81,9.25,--,--,9.172433,8.286,8.106,8.068
1560,LS   V +57   51,B,02 33 40.7449,+57 26 10.153,--,11.65,11.22,--,--,10.944648,9.913,9.795,9.728
1561,HD 197768,A,20 41 12.8749,+69 54 18.657,--,9.1,8.87,--,--,8.854404,8.426,8.369,8.333
1562,HD 233714,A,10 11 31.3530,+49 25 11.915,--,10.24,8.87,--,--,8.367153,6.297,5.546,5.397
1563,TYC 3460-1171-1,G,13 09 10.4116,+45 22 26.799,--,12.56,11.76,--,--,11.646996,10.704,10.416,10.348
1564,TYC 4047-821-1,B,02 42 01.0246,+61 37 45.580,--,12.92,12.55,--,--,12.488205,--,--,--
1565,IRAS 17058-3911,O,17 09 17.5679,-39 15 09.516,--,--,--,--,--,13.274374,6.675,5.206,4.403
1566,HD 282251,A,04 32 42.6663,+30 45 08.762,--,12.14,11.59,--,--,11.500347,10.456,10.266,10.198
1567,BD+81   576,K,17 05 19.6816,+81 40 12.015,--,11.71,10.64,--,--,10.373582,8.753,8.222,8.165
1568,HD  46982,F,06 38 29.5273,+43 04 04.308,--,10.59,10.24,--,--,10.089958,--,--,--
1569,HD 278593,G,03 25 28.7818,+34 33 33.125,--,11.84,11.44,--,--,11.083,9.837,9.535,9.444
1570,HD 158607,G,17 28 03.79,+46 16 48.9,--,--,--,--,--,--,--,--,--
1571,MLLA  946,K,05 35 13.5893,-05 20 31.378,--,--,20.66,--,16.096,18.1102,13.97,12.816,12.25
1572,HD 283555,G,04 17 04.8973,+24 12 27.993,--,11.97,11.42,--,--,11.213981,10.038,9.774,9.656
1573,LS   V +57   30,B,02 24 55.9264,+57 31 09.037,--,11.63,11.2,--,--,10.935697,10.029,9.965,9.921
1574,LS   I +56   80,B,02 58 56.1351,+56 46 45.241,12.21,12.12,11.95,--,--,11.363391,9.987,9.846,9.713
1575,IRAS 17069-3711,O,17 10 20.7972,-37 15 05.439,--,--,--,--,--,--,13.842,10.682,8.463
1576,CHSS   95,F,11 02 34.7621,+28 55 54.038,--,--,13.12,--,--,13.032058,12.145,11.918,11.878
1577,BD+61  2393,K,23 07 11.4178,+62 35 42.410,--,11.09,9.42,--,--,8.785442,6.29,5.575,5.395
1578,2MASSs J0256598+200215,M,02 56 59.85,+20 02 15.7,--,--,--,--,--,--,--,--,--
1579,HD 151523,F,16 44 57.0366,+54 12 09.904,--,9.45,9.18,--,--,9.164274,8.654,8.604,8.564
1580,LS III +57   22,B,22 03 12.3513,+58 04 20.794,--,12.56,11.46,--,--,11.608513,10.102,9.863,9.762
1581,FDF  3559,M,01 06 00.49,-25 43 41.5,--,--,--,--,--,--,--,--,--
1582,OH 351.60+00.32,O,17 22 42.6626,-35 49 31.558,--,--,--,--,--,--,--,--,--
1583,HD 313609,M,18 01 36.9183,-23 20 14.765,--,11.25,9.54,--,--,8.49284,5.512,4.673,4.239
1584,HD 281746,A,04 14 45.0532,+32 33 44.892,--,12.17,11.76,--,--,11.76368,11.084,10.961,10.905
1585,CSO  655,G,14 28 52.5577,+49 39 44.195,--,18.1,--,17.5,--,17.687323,16.314,16.233,--
1586,EM* AS  404,B,20 19 55.6086,+39 47 02.992,--,11.39,10.78,--,--,10.550046,9.081,8.787,8.531
1587,TYC 1967-331-1,F,09 58 16.6345,+29 39 47.059,--,12.43,12.12,--,--,12.664969,12.065,11.939,11.904
1588,HD  21598,A,03 32 20.1746,+60 57 11.511,--,9.83,9.7,--,--,9.666023,9.367,9.338,9.285
1589,IRAS 17253-3758,O,17 28 47.8646,-38 00 31.842,--,--,--,--,--,13.712364,7.189,5.846,5.015
1590,BD+48  2908,M,19 31 50.4393,+48 32 13.142,--,11.2,9.69,--,--,8.996847,6.654,5.847,5.656
1591,2MASS J18443016-3020328,M,18 44 30.1625,-30 20 32.830,--,18.16,--,15.31,--,14.863197,11.227,10.298,9.947
1592,TYC 4333-660-1,A,04 24 27.6885,+69 53 26.578,--,11.22,11.28,--,--,11.090275,10.954,10.997,11.037
1593,TYC 4607-1633-1,G,21 44 58.0947,+79 23 13.893,--,11.2,10.64,--,--,10.639665,9.692,9.544,9.454
1594,Cl Trumpler   37  1174,F,21 14 58.5920,+59 05 56.014,--,12.7,--,--,--,11.910158,10.692,10.372,10.295
1595,[D75b] Star 10,M,02 19 16.7601,+59 42 21.598,--,15.1,--,--,--,10.569473,6.628,5.533,5.097
1596,BD+49  1004,B,03 43 16.6260,+49 58 40.355,--,9.98,9.89,--,--,9.795534,9.416,9.397,9.375
1597,CHSS  561,F,09 00 42.4329,+28 40 29.016,--,--,--,--,--,13.419424,12.552,12.327,12.272
1598,HD  93239,G,10 47 33.6607,+64 22 53.578,--,9.58,9.17,--,--,9.069648,8.277,8.067,8.037
1599,LS III +45    8,B,20 29 23.5714,+45 17 56.313,--,11.89,11.28,--,--,11.428349,10.221,10.082,9.995
1600,BD+83   589,K,20 29 48.2130,+83 30 44.493,--,11.3,10.27,--,--,9.970407,8.312,7.801,7.649
1601,HS 1612+4538,F,16 13 47.0,+45 31 12,--,--,--,--,--,--,--,--,--
1602,BD+75   385,G,09 38 35.9278,+75 16 07.308,--,10.75,10.03,9.9,--,--,8.807,8.489,8.405
1603,2MASS J18521431-3028072,M,18 52 14.3178,-30 28 07.331,--,17.85,--,15.13,--,15.223698,12.59,11.722,11.462
1604,GSC 03712-01870,B,02 49 22.3046,+58 26 44.219,13.32,13.73,13.02,--,--,12.784429,11.448,11.29,11.16
1605,NGC  7209   120,K,22 06 21.0483,+46 23 43.618,--,13.25,--,--,--,12.297116,11.145,10.818,10.765
1606,HD 197675,A,20 41 27.0851,+66 30 40.949,--,9.64,9.4,--,--,9.341174,8.833,8.849,8.801
1607,TYC 3944-1470-1,G,20 03 48.7149,+56 16 37.283,--,11.32,10.97,--,--,10.710741,9.955,9.736,9.701
1608,HD 196019,A,20 32 57.4924,+45 36 51.496,--,8.85,8.72,--,--,8.694543,8.311,8.298,8.301
1609,V* V570 Sco,O,16 51 30.6937,-37 17 26.050,--,15.76,14.47,12.79,--,9.496426,4.418,3.169,2.627
1610,HD 145180,G,16 05 56.5400,+62 25 07.460,--,10.16,9.66,--,--,9.599193,8.759,8.557,8.483
1611,IRAS 17048-3832,O,17 08 16.1710,-38 36 05.286,--,--,--,--,--,18.095522,9.122,7.255,5.991
1612,EM* UHA   62,B,20 54 34.4426,+46 08 55.281,--,14.5,14.0,--,--,12.865565,11.02,10.621,10.341
1613,HD  24761,A,03 56 52.7292,+20 05 01.014,9.37,9.11,8.79,--,8.403,8.738872,8.006,7.967,7.874
1614,HD 170421,K,18 24 42.6394,+65 15 04.893,--,9.35,7.81,--,--,7.21204,5.068,4.46,4.022
1615,HS 1502+4358,K,15 04 05.4,+43 47 18,--,16.9,--,--,--,--,--,--,--
1616,HD 286015,A,04 45 50.0542,+18 57 17.936,13.807,11.52,10.96,--,--,11.097911,10.277,10.226,10.142
1617,[MK97] 79,M,21 39 43.8474,+56 34 37.053,--,15.74,13.47,12.85,--,11.784717,8.237,7.137,6.77
1618,HD  22562,G,03 43 54.9720,+73 45 33.163,--,10.68,10.2,--,--,10.033477,9.084,8.844,8.849
1619,Cl Trumpler   37  1030,F,21 41 15.8739,+58 14 53.675,--,12.6,12.05,--,--,11.841686,10.65,10.26,10.23
1620,HD 291786,F,06 34 33.9854,+00 42 41.690,--,10.0,--,--,--,11.478759,10.773,10.621,10.571
1621,HD  55701,F,07 17 19.4335,+57 16 42.320,--,9.89,9.56,--,--,9.499383,8.954,8.839,8.788
1622,IRAS 06046+7112,M,06 10 31.3,+71 12 18,--,--,--,--,--,--,--,--,--
1623,LS III +46   67,B,22 21 08.3541,+46 54 06.194,--,12.82,12.45,--,--,12.319082,11.609,11.492,11.437
1624,Cl Trumpler   37  1162,G,21 12 57.8872,+59 00 05.887,--,13.0,--,--,--,11.590222,9.867,9.328,9.21
1625,OH 000.036-00.182,O,17 46 24.8668,-29 00 01.407,--,--,--,--,--,--,--,14.791,11.071
1626,IRAS 17467-4256,O,17 50 20.5048,-42 57 18.486,--,--,--,--,--,--,--,15.07,11.355
1627,IRAS 17388-3605,O,17 42 15.2192,-36 07 23.525,--,--,--,--,--,11.039104,6.611,5.294,4.49
1628,[MGN2003]  36,M,13 35 22.83,+37 49 11.1,--,--,--,22.3,--,--,--,--,--
1629,BD+38  1635,K,06 53 13.8202,+38 35 13.016,--,11.7,10.3,--,--,9.493784,7.064,6.213,6.021
1630,BD+74   171B,G,03 46 20.2058,+75 22 30.769,--,10.85,9.61,--,--,9.262352,7.456,6.924,6.754
1631,HD  51213,G,06 58 49.3690,+46 22 35.230,--,10.31,9.75,--,--,9.608185,8.666,8.478,8.4
1632,HD 229291,M,20 25 41.4053,+40 00 33.424,--,9.94,8.34,--,--,7.606315,5.207,4.563,4.193
1633,HD  22464,A,03 39 55.2628,+60 16 56.898,--,9.89,9.44,--,--,9.46197,8.49,8.34,8.288
1634,2MASS J08015638+6232105,G,08 01 56.3822,+62 32 10.472,--,--,11.8,--,--,12.462067,10.916,10.392,10.354
1635,IRAS 17127-3834,O,17 16 15.1648,-38 37 44.608,--,--,--,--,--,--,--,--,--
1636,IRAS 17495-3517,O,17 52 52.4154,-35 18 12.134,--,--,--,--,--,13.844955,8.073,6.673,5.786
1637,2MASS J02370479+5942223,B,02 37 04.8295,+59 42 22.327,--,--,--,--,--,19.132065,16.37,15.67,15.79
1638,IRAS 17351-3545,O,17 38 33.8906,-35 46 58.623,--,--,--,--,--,--,--,12.367,9.636
1639,IRAS 17102-3917,O,17 13 42.8319,-39 20 39.383,--,--,--,--,--,14.838544,7.05,5.53,4.59
1640,LS III +46   64,B,21 35 53.0734,+46 46 52.801,--,11.68,11.34,--,--,11.326507,10.46,10.357,10.277
1641,HD 238502,M,15 44 22.2395,+58 47 33.746,--,11.48,9.79,9.1,--,9.234332,6.993,6.269,6.044
1642,HD 325278,M,18 24 52.6386,-39 25 52.014,--,10.91,9.76,--,--,9.370174,7.681,7.169,6.998
1643,EM* GGA   38,B,01 25 08.8558,+61 08 08.079,--,12.1,11.77,11.511,--,11.451285,10.164,9.976,9.853
1644,HD 282427,F,04 44 18.3867,+30 27 45.732,--,11.94,11.56,--,--,11.461162,10.329,10.174,10.068
1645,Cl Trumpler   37  1716,A,21 24 22.7234,+60 02 55.013,--,13.0,--,--,--,12.100237,10.719,10.47,10.35
1646,TYC   91-503-1,F,04 43 23.2594,+05 15 23.821,--,10.23,9.92,--,--,9.838435,8.997,8.838,8.759
1647,EM* MWC  691,B,01 31 04.6494,+62 23 04.835,--,--,10.893,10.439,--,10.260779,9.212,9.034,8.744
1648,HD  50768,K,06 55 10.5060,+14 13 42.048,--,9.69,8.26,--,--,7.721533,5.642,4.954,4.697
1649,SBSS 1715+604,B,17 15 40.7927,+60 24 55.462,--,16.04,15.52,15.63,--,15.465718,14.61,14.44,14.32
1650,BD+45  3087,K,20 11 41.7903,+45 26 26.947,--,11.2,10.21,--,--,9.938454,8.461,7.983,7.906
1651,HD 288790,K,06 35 29.79,+02 01 00.2,--,10.0,--,--,--,--,9.659,9.076,8.719
1652,HD 195392,F,20 29 11.0783,+47 06 17.566,9.06,8.98,8.74,--,--,8.679677,8.196,8.115,8.087
1653,[LBX2017] 780,M,03 32 42.0048,-27 57 02.843,--,15.5,14.78,15.38,14.53,13.397528,10.966,10.379,12.26
1654,LS   I +61  171,B,00 48 49.4497,+61 36 52.119,--,12.1,11.4,--,--,11.254806,10.01,9.841,9.732
1655,BD+75   115,K,02 56 40.6818,+75 43 03.158,--,11.5,10.34,--,--,9.938931,8.066,7.503,7.356
1656,BD+49   734,F,02 39 39.6197,+50 31 46.395,--,11.33,10.74,--,--,10.765565,10.139,10.024,9.981
1657,HD 203575,A,21 20 35.1566,+60 26 59.624,--,8.91,8.85,--,--,8.835438,8.637,8.626,8.632
1658,HD  28670,A,04 38 39.2488,+74 53 37.878,--,10.79,10.67,--,--,10.635466,10.303,10.259,10.262
1659,HD  61546,F,07 43 09.4235,+57 52 43.081,--,10.14,9.8,--,--,9.717009,9.059,8.851,8.805
1660,HD 332237,M,20 25 00.7522,+33 07 53.633,--,--,--,9.068,--,--,5.101,4.261,3.885
1661,LS III +50    6,B,20 44 53.55,+50 22 56.7,--,--,--,--,--,--,--,--,--
1662,HD  66609,F,08 08 34.0801,+64 20 01.716,--,9.68,9.3,--,--,9.219468,--,--,--
1663,BD+67  1030,K,17 41 15.6482,+67 33 49.657,--,11.55,10.34,--,--,9.754941,7.741,6.979,6.842
1664,LS III +53   86,B,23 11 49.1157,+53 24 25.857,--,12.1,--,11.65,--,11.633018,10.641,10.439,10.381
1665,Cl Trumpler   37  1724,G,21 24 59.9709,+60 07 43.619,--,12.5,--,--,--,11.663192,10.593,10.29,10.235
1666,BD+47  4013,G,23 01 18.4216,+48 20 02.456,--,11.6,10.33,--,--,9.870127,7.763,7.012,6.834
