C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
153 |HD 235080                          |*  |20 01 20.5963722576 +52 38 16.443418776|     ~   |12.18    |10.31    |     ~   |     ~   |M              |   2|   0
154 |V* V1190 Cyg                       |S* |20 16 20.4114241920 +54 09 15.310270188|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |  10|   0
155 |IRAS 21039+6004                    |*  |21 05 07.2563560752 +60 16 20.176776372|     ~   |12.28    |10.38    |     ~   |     ~   |M              |   2|   0
156 |V* V461 Cep                        |LP?|23 49 09.1302795576 +68 40 06.835861740|     ~   |10.23    |8.23     |     ~   |     ~   |M              |   9|   0
157 |[D75b] Star 16                     |S* |02 38 33.4524323352 +61 54 31.257474588|     ~   |15.6     |     ~   |     ~   |     ~   |MS             |   6|   0
158 |BD+48 2908                         |*  |19 31 50.4393469512 +48 32 13.142745672|     ~   |11.20    |9.69     |     ~   |     ~   |M              |   2|   0
159 |BD+69 1214                         |LP*|22 01 08.5418511336 +70 01 19.485317856|     ~   |11.56    |9.58     |     ~   |     ~   |M              |   1|   0
160 |G 246-23                           |PM*|03 06 27.8100228237 +62 54 38.457649176|     ~   |16.7     |     ~   |14.7     |     ~   |M              |  11|   0
161 |HD 232868                          |*  |04 00 46.5576064968 +54 27 47.366095536|     ~   |11.64    |10.31    |     ~   |     ~   |M              |   2|   0
162 |HD 234904                          |*  |19 28 57.8372688912 +54 27 56.581659504|     ~   |11.52    |10.07    |     ~   |     ~   |M              |   2|   0
163 |[D75b] Star 28                     |S* |04 59 15.2515132128 +47 36 01.161610560|     ~   |15.9     |     ~   |     ~   |     ~   |MS             |   5|   0
164 |IRAS 03569+6909                    |FIR|04 02 02.9 +69 18 05                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
165 |IRAS 04156+6939                    |FIR|04 20 58.7 +69 46 17                   |     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
166 |2MASS J04300315+6451427            |Y*O|04 30 03.1656284160 +64 51 42.846442164|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   0
167 |[D75b] Star 30                     |S* |05 11 33.5985793176 +47 40 46.694074476|     ~   |15.1     |     ~   |     ~   |     ~   |MS             |  10|   0
168 |S1* 92                             |S* |05 12 30.7321898112 +46 53 18.374997876|     ~   |     ~   |     ~   |     ~   |     ~   |MS             |   7|   0
169 |V* HQ Dra                          |LP?|18 55 34.1395770792 +67 22 50.394811908|     ~   |10.71    |9.24     |     ~   |     ~   |M              |  10|   0
170 |HD 180755                          |*  |19 12 41.2236832416 +67 35 13.771819212|     ~   |10.69    |9.06     |     ~   |     ~   |M              |   2|   0
171 |V* IK Dra                          |LP?|19 56 08.8588077672 +76 27 00.640345536|     ~   |9.95     |8.15     |     ~   |     ~   |Ma             |  14|   0
